symbol,date,close
XMR,2017-02-17,13.30
XMR,2017-02-16,13.10
XMR,2017-02-15,13.62
XMR,2017-02-14,12.99
XMR,2017-02-13,12.20
XMR,2017-02-12,12.33
XMR,2017-02-11,12.24
XMR,2017-02-10,11.98
XMR,2017-02-09,12.12
XMR,2017-02-08,12.80
XMR,2017-02-07,12.65
XMR,2017-02-06,12.88
XMR,2017-02-05,12.80
XMR,2017-02-04,12.61
XMR,2017-02-03,12.86
XMR,2017-02-02,13.14
XMR,2017-02-01,13.27
XMR,2017-01-31,12.99
XMR,2017-01-30,12.71
XMR,2017-01-29,12.66
XMR,2017-01-28,12.85
XMR,2017-01-27,12.10
XMR,2017-01-26,11.98
XMR,2017-01-25,11.83
XMR,2017-01-24,11.81
XMR,2017-01-23,12.25
XMR,2017-01-22,12.18
XMR,2017-01-21,12.03
XMR,2017-01-20,11.91
XMR,2017-01-19,12.15
XMR,2017-01-18,12.05
XMR,2017-01-17,12.39
XMR,2017-01-16,10.64
XMR,2017-01-15,10.76
XMR,2017-01-14,11.09
XMR,2017-01-13,11.27
XMR,2017-01-12,11.85
XMR,2017-01-11,11.64
XMR,2017-01-10,13.39
XMR,2017-01-09,13.74
XMR,2017-01-08,13.47
XMR,2017-01-07,13.06
XMR,2017-01-06,14.03
XMR,2017-01-05,16.19
XMR,2017-01-04,18.53
XMR,2017-01-03,16.09
XMR,2017-01-02,16.05
XMR,2017-01-01,13.97
XMR,2016-12-31,13.78
XMR,2016-12-30,12.97
XMR,2016-12-29,13.13
XMR,2016-12-28,14.09
XMR,2016-12-27,12.69
XMR,2016-12-26,10.27
XMR,2016-12-25,9.73
XMR,2016-12-24,9.65
XMR,2016-12-23,9.55
XMR,2016-12-22,8.90
XMR,2016-12-21,8.28
XMR,2016-12-20,8.43
XMR,2016-12-19,8.63
XMR,2016-12-18,8.61
XMR,2016-12-17,8.32
XMR,2016-12-16,8.51
XMR,2016-12-15,8.42
XMR,2016-12-14,8.41
XMR,2016-12-13,8.11
XMR,2016-12-12,8.05
XMR,2016-12-11,7.91
XMR,2016-12-10,7.78
XMR,2016-12-09,7.95
XMR,2016-12-08,7.79
XMR,2016-12-07,7.89
XMR,2016-12-06,7.54
XMR,2016-12-05,7.91
XMR,2016-12-04,7.80
XMR,2016-12-03,8.27
XMR,2016-12-02,8.23
XMR,2016-12-01,8.58
XMR,2016-11-30,8.95
XMR,2016-11-29,7.60
XMR,2016-11-28,7.89
XMR,2016-11-27,7.93
XMR,2016-11-26,7.62
XMR,2016-11-25,7.54
XMR,2016-11-24,7.81
